#Table: J/MNRAS/441/2361/table1.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
G|               |            |      |    |    |      | |     |      |     |     |        |        |
r|               |            |      |    |    |      |l|     |      |     |     |        |        |
o|               |            |      |    |    |      |_|     |      |     | log1|        |        |
u|               |            |      |    |  Ra|      |R|     |      | log1|0(LX/|        |       O|
p|Star           |n_Star      |SpType|Mass|dius|  Prot|o|   Ro|   Age|0(LX)|Lbol)|  <|BV|>|bs.Epoch|Ref
-|---------------|------------|------|----|----|------|-|-----|------|-----|-----|--------|--------|----------------------------------------------------------------------------------------------------------------------------
1|HD 206860      |            |G0V   |1.10|1.04| 4.55 | |0.388| 260. |29.00|-4.65|  14.7  |-       |Petit2014, 2014MNRAS.444.3517M, 2013A&A...556A..53E, 2003A&A...397..147P
2|BD-16 351      |            |K5    |0.90|0.83| 3.39 | |-    |  30. |-    |-    |  33.4  |2012 Sep|2016MNRAS.457..580F, 2008hsf2.book..757T
2|HD  29615      |            |G3V   |0.95|0.96| 2.32 | |0.073|  27. |-    |-    |  45.1  |2009    |2015MNRAS.449....8W, 2011PASA...28..323W, 2011A&A...532A..10M, 2008hsf2.book..757T, 2008ApJ...689.1127M
2|HD  35296      |            |F8V   |1.22|1.20| 3.90 |>|0.467|  35. |29.43|-4.41|   8.37 |2007 Jan|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 1995A&A...302..775G
2|HD  35296      |            |F8V   |1.22|1.20| 3.90 |>|0.467|  35. |29.43|-4.41|   8.10 |2008 Jan|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 1995A&A...302..775G
2|HD  36705      |            |K1V   |1.00|1.00| 0.510| |0.028| 120. |30.06|-3.36|  53.1  |1996    |1999MNRAS.302..437D, 2009A&ARv..17..251S, 2011MNRAS.410.2472A, 2013ApJ...766....6B, 2005ApJ...628L..69L, 2012ApJ...753...76W
2|HD 106506      |            |G1V   |1.50|2.15| 1.39 |>|0.024|  10. |-    |-    |  30.8  |2007 Apr|2011MNRAS.413.1949W
2|HD 129333      |            |G1.5V |1.04|0.97| 2.77 | |0.177| 120. |29.93|-3.60|  47.9  |2012 Jan|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 2013ApJ...766....6B, 2005ApJ...628L..69L, 2012ApJ...753...76W
2|HD 129333      |            |G1.5V |1.04|0.97| 2.77 | |0.177| 120. |29.93|-3.60|  22.0  |2007 Jan|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 2013ApJ...766....6B, 2005ApJ...628L..69L, 2012ApJ...753...76W
2|HD 129333      |            |G1.5V |1.04|0.97| 2.77 | |0.177| 120. |29.93|-3.60|  29.3  |2007 Feb|2015MNRAS.449....8W, 2014MNRAS.444.3517M, 2013ApJ...766....6B, 2005ApJ...628L..69L, 2012ApJ...753...76W
